,masterid,SiteYear,MeanSurvival,CtrlAdjSurvival,csci,ASCI.hybrid,PyrethroidSum,huc,smcshed,smc_lu,latitude,longitude,probabilistic
5206,SMC00924,SMC00924_2012,NA,NA,0.80802904,NA,NA,412,Los Angeles,Open,34.22394,-118.18053,TRUE
5207,SMC00924,SMC00924_2014,NA,NA,1.11793289,0.89261527,NA,412,Los Angeles,Open,34.22394,-118.18053,TRUE
5208,SMC00924,SMC00924_2016,NA,NA,0.98980449,NA,NA,412,Los Angeles,Open,34.22394,-118.18053,TRUE
5209,SMC00924,SMC00924_2017,NA,NA,0.91430341,NA,NA,412,Los Angeles,Open,34.22394,-118.18053,TRUE
5210,SMC00926,SMC00926_2010,NA,NA,0.48667736,0.63957062,NA,845,San Gabriel,Urban,33.90739,-117.88296,TRUE
5211,SMC00926,SMC00926_2018,90,97.2972973,NA,NA,NA,845,San Gabriel,Urban,33.90739,-117.88296,TRUE
5212,SMC00957,SMC00957_2010,NA,NA,0.78378935,0.49781203,NA,801,Middle Santa Ana,Urban,33.96195,-117.37075,TRUE
5213,SMC00958,SMC00958_2011,NA,NA,0.247141,0.92554431,NA,845,San Gabriel,Urban,33.82532,-117.99894,TRUE
5214,SMC00963,SMC00963_2010,NA,NA,0.80311628,0.63706611,NA,901,San Juan,Urban,33.56401,-117.6514,TRUE
5215,SMC00963,SMC00963_2014,NA,NA,0.87168743,0.76481084,NA,901,San Juan,Urban,33.56401,-117.6514,TRUE
5216,SMC01004,SMC01004_2009,NA,NA,0.65517962,0.7915563,NA,412,Los Angeles,Urban,34.15016,-118.16579,TRUE
5217,SMC01004,SMC01004_2019,NA,NA,NA,0.75124446,NA,412,Los Angeles,Urban,34.15016,-118.16579,TRUE
5218,SMC01013,SMC01013_2010,NA,NA,0.54487146,0.9928157,NA,902,Northern San Diego,Urban,33.48059,-117.14397,TRUE
5219,SMC01040,SMC01040_2009,NA,NA,1.19354708,1.03223456,NA,412,Los Angeles,Open,34.30553,-118.15792,TRUE
5220,SMC01046,SMC01046_2009,NA,NA,0.64702057,0.89471609,NA,906,Mission Bay and San Diego River,Urban,32.79509,-117.18494,TRUE
5221,SMC01049,SMC01049_2010,NA,NA,0.77620822,0.51076437,NA,904,Central San Diego,Urban,33.17733,-117.20403,TRUE
5222,SMC01049,SMC01049_2014,NA,NA,NA,0.82294176,NA,904,Central San Diego,Urban,33.17733,-117.20403,TRUE
5223,SMC01096,SMC01096_2010,NA,NA,0.58374708,0.96028438,NA,412,Los Angeles,Open,34.28465,-118.29343,TRUE
5224,SMC01096,SMC01096_2016,NA,NA,0.76260127,0.7419498,NA,412,Los Angeles,Open,34.28465,-118.29343,TRUE
5225,SMC01151,SMC01151_2009,NA,NA,0.59882022,0.75203862,NA,403,Santa Clara,Agricultural,34.3723,-118.97196,TRUE
5226,SMC01155,SMC01155_2009,NA,NA,0.99823018,0.70267977,NA,801,Lower Santa Ana,Open,33.7606,-117.67949,TRUE
5227,SMC01158,SMC01158_2009,NA,NA,0.49499189,0.8460176,NA,906,Central San Diego,Agricultural,32.96281,-117.16676,TRUE
5228,SMC01161,SMC01161_2010,NA,NA,0.99065729,0.62736589,NA,902,Northern San Diego,Agricultural,33.44661,-117.25532,TRUE
5229,SMC01164,SMC01164_2011,NA,NA,0.95301034,NA,NA,403,Santa Clara,Open,34.35078,-118.57968,TRUE
5230,SMC01172,SMC01172_2009,NA,NA,0.81261515,NA,NA,404,Santa Monica Bay,Open,34.0816,-118.85826,TRUE
5231,SMC01174,SMC01174_2011,NA,NA,0.79671146,0.5139375,NA,905,Central San Diego,Urban,33.01677,-117.01646,TRUE
5232,SMC01196,SMC01196_2010,NA,NA,0.77276685,0.77538047,NA,412,Los Angeles,Open,34.27835,-118.02952,TRUE
5233,SMC01201,SMC01201_2010,NA,NA,0.93977982,0.69337341,NA,905,Central San Diego,Urban,33.08584,-117.05528,TRUE
5234,SMC01208,SMC01208_2010,NA,NA,NA,0.6633931,NA,412,Los Angeles,Urban,34.19015,-118.5365,TRUE
5235,SMC01215,SMC01215_2011,NA,NA,0.86731796,0.6553169,NA,403,Santa Clara,Urban,34.33968,-119.06784,TRUE
5236,SMC01248,SMC01248_2011,NA,NA,1.07230208,0.86453622,NA,405,San Gabriel,SMC_out,34.25895,-117.74499,TRUE
5237,SMC01248,SMC01248_2019,NA,NA,NA,1.01677505,NA,405,San Gabriel,SMC_out,34.25895,-117.74499,TRUE
5238,SMC01257,SMC01257_2011,NA,NA,0.68284466,0.50151718,NA,901,San Juan,Urban,33.60842,-117.61859,TRUE
5239,SMC01258,SMC01258_2009,NA,NA,NA,0.72378255,NA,909,Southern San Diego,Urban,32.64949,-117.05886,TRUE
5240,SMC01260,SMC01260_2012,NA,NA,0.51004389,0.84187629,NA,405,San Gabriel,SMC_out,34.06502,-117.97473,TRUE
5241,SMC01260,SMC01260_2019,NA,NA,NA,0.9009597,NA,405,San Gabriel,SMC_out,34.06502,-117.97473,TRUE
5242,SMC01278,SMC01278_2009,NA,NA,0.43425948,0.8073247,NA,405,San Gabriel,Urban,33.82099,-118.06645,TRUE
5243,SMC01278,SMC01278_2016,NA,NA,0.384579,0.73841125,NA,405,San Gabriel,Urban,33.82099,-118.06645,TRUE
5244,SMC01278,SMC01278_2017,NA,NA,NA,1.22162782,NA,405,San Gabriel,Urban,33.82099,-118.06645,TRUE
5245,SMC01320,SMC01320_2010,NA,NA,NA,0.66131456,NA,412,Los Angeles,Open,34.29856,-118.25082,TRUE
5246,SMC01358,SMC01358_2011,NA,NA,0.39595901,0.61603441,NA,412,Los Angeles,SMC_out,33.90965,-118.24673,TRUE
5247,SMC01372,SMC01372_2010,NA,NA,0.69273625,NA,NA,403,Santa Clara,Agricultural,34.43437,-118.61386,TRUE
