StationCode,ChannelClass_3ef,Latitude,Longitude,Distance to upstream undeveloped,comments
909CCCSPx,Natural,32.94003,-116.56444,,
901SJSMT2,Natural,33.5497,-117.39619,,
902SMROB8,Natural,33.38713,-117.32372,,
901DCCDCx,Natural,33.47108,-117.46461,,
911CCH80x,Natural,32.78803,-116.49761,,
905SDYSA7,Natural,33.08603,-116.91668,,
902SCDLRx,Natural,33.49219,-117.24642,,
907CCCR02,Natural,33.00222,-116.70889,,
905BMCCGx,Natural,33.12706,-116.80361,,
907SDBOC2,Natural,32.96353,-116.66406,,
901BCCSRT,Natural,33.56422,-117.56369,,
902SMRWGR,Natural,33.42931,-117.19637,,
910OTJMC4,Natural,32.63747,-116.88405,,
905BCN1xx,Natural,33.10528,-116.89306,,
903FCPSPx,Natural,33.3517,-116.91389,,
901SMCSMR,Natural,33.42339,-117.53136,,
REF-TCAS,Natural,33.67399,-117.53722,,
SMCR8_012,Natural,33.91909,-117.82201,,
SMCR8_019,All or partially earthen,33.92417,-117.59778,,
SMCR8_110,All or partially earthen,33.96468,-117.46518,,
SMCR8_151,All or partially earthen,33.98873,-117.39614,,
SMCR8_028,Natural,34.2026,-117.44583,,
SMCR8_032,Natural,34.07629,-117.06626,,
SMCR8_051,Natural,33.99512,-117.15212,,
SMCR8_055,All or partially earthen,34.0396,-117.21973,,
SMCR8_258,All or partially earthen,34.01399,-117.17834,,
SMCR8_208,Natural,34.0023,-117.16428,,
SMCR8_041,Natural,34.29543,-117.45882,,
SMCR8_126,Natural,34.17413,-116.89426,,
SMCR8_168,Natural,34.17865,-116.84726,,
SMCR8_334,Natural,34.18321,-116.8773,,
SMCR8_713,Natural,34.24908,-117.63127,,
SMCR8_007,Natural,34.0952,-116.96447,,
SMCR8_027,Natural,34.3061,-117.4697,,
SMCR8_034,Natural,34.08909,-116.92669,,
SMCR8_035,Natural,34.08193,-116.89027,,
SMCR8_062,Natural,34.21257,-117.45844,,
SMCR8_025,Natural,34.1739,-116.9839,,
SMCR8_087,Natural,34.16287,-116.80945,,
SMCR8_100,Natural,34.22644,-116.93895,,
SMCR8_105,Natural,34.25265,-117.4925,,
SMCR8_106,Natural,34.15508,-116.88528,,
SMCR8_271,Natural,34.22931,-117.47362,,
SMCR8_370,Natural,34.10015,-117.02393,,
SMCR8_446,Natural,34.18543,-117.18567,,
SMCR8_530,Natural,34.17834,-116.90881,,
SMCR8_686,Natural,34.16918,-116.89195,,
403SPCNWS,Natural,34.5778,-119.2579,,
907SDR1xx,Natural,32.76497,-117.19136,,
907SRSD1x,Natural,33.10878,-116.65758,,
403SED076,Natural,34.56182,-119.16611,,
SMC00096,Hardened,34.09451,-117.78462,10km,
SMC00190,Hardened,34.01488,-118.04783,-99,ended in developed area
SMC00236,Hardened,34.08951,-117.94783,>15km,
SMC00254,Hardened,33.83758,-118.05377,-99,ended in developed area
SMC03390,Hardened,33.82267,-118.09186,>15km,
SMC04670,Hardened,33.86506,-118.10456,>15km,
SMC00144,Natural,34.26705,-117.78759,,
SMC00208,Natural,34.24464,-117.90908,,
SMC00428,Natural,34.2481,-118.04976,,
SGUR010,Natural,34.19498,-117.86114,,
SGUR103,Natural,34.23218,-118.05822,,
SGUT502,Natural,34.2283,-117.76593,,
SGUT503,Natural,34.29216,-117.83856,,
SMCR8_116,All or partially earthen,33.66396,-117.2787,,
SMCR8_159,Natural,33.73904,-116.83089,,
SMCR8_453,Natural,33.73882,-116.82834,,
SMCR8_020,Natural,33.76698,-116.6902,,
SMCR8_172,Natural,33.78651,-116.8323,,
SMCR8_206,Natural,33.73283,-116.74047,,
SMCR8_267,Natural,33.67606,-116.67871,,
SMCR8_147,Natural,33.79427,-116.74714,,
SMCR8_543,Natural,33.80281,-116.73208,,
SMCR8_635,Natural,33.80349,-116.78271,,
901SJOF1x,Natural,33.61633,-117.42717,,
903SLGRD2,Natural,33.33549,-117.18845,,
903GIR2xx,Natural,33.33521,-117.18882,,
903SLSLR6,Natural,33.28792,-117.22339,,
903SLWVR1,Natural,33.29391,-117.08732,,
902SMADO2,Natural,33.5131,-117.26808,,
902SMAS1x,Natural,33.45695,-116.97047,,
SMC00105,Natural,33.74651,-117.58423,,
SMC00191,All or partially earthen,34.36762,-119.0538,,
SMC00206,Natural,33.54359,-117.65963,,
SMC00271,Natural,34.5485,-119.16547,,
SMC00282,Natural,32.8718,-116.61357,,
SMC00324,Natural,34.30063,-119.1097,,
SMC00382,Hardened,34.04437,-117.99413,-99,ended in developed area
SMC00446,All or partially earthen,34.02018,-118.04627,,
SMC00457,Natural,33.2337,-117.09391,,
SMC00464,Natural,34.24152,-117.86683,,
SMC00473,Natural,33.03916,-117.15802,,
SMC00480,Natural,34.23434,-117.73155,,
SMC00520,Natural,34.29626,-118.28252,,
SMC00531,Hardened,33.55975,-117.772,2.5km,
SMC00670,Hardened,33.86925,-117.90916,-99,ended in developed area
SMC00693,Natural,33.2964,-117.08556,,
SMC00710,Natural,32.88934,-117.20028,,
SMC00729,Natural,33.13525,-117.17488,,
SMC00827,Natural,34.55734,-119.18833,,
SMC00873,Natural,33.59849,-117.62668,,
403S00875,Natural,34.55668,-119.30629,,
SMC00911,Natural,34.50797,-119.29854,,
SMC00926,All or partially earthen,33.90739,-117.88296,,
SMC00957,Natural,33.96195,-117.37075,,
SMC00963,Natural,33.56401,-117.6514,,
SMC01046,Natural,32.79509,-117.18494,,
SMC01049,Natural,33.17733,-117.20403,,
SMC01097,Natural,33.48724,-117.25537,,
SMC01151,Natural,34.3723,-118.97196,,
SMC01155,Natural,33.7606,-117.67949,,
SMC01158,Natural,32.96281,-117.16676,,
SMC01161,Natural,33.44661,-117.25532,,
SMC01172,Natural,34.0816,-118.85826,,
403S01195,Natural,34.55903,-119.2678,,
SMC01201,Natural,33.08584,-117.05528,,
SMC01258,Natural,32.64949,-117.05886,,
SMC01341,Natural,33.94614,-117.5621,,
SMC01372,Natural,34.43437,-118.61386,,
SMC01384,Natural,34.0646,-118.70091,,
SMC01424,Natural,34.24075,-117.81585,,
SMC01512,Hardened,34.27641,-118.67252,4km,
SMC01550,Natural,34.05626,-118.84901,,
SMC01567,Natural,34.50959,-119.38373,,
SMC01606,Hardened,32.84198,-117.23481,>15km,
SMC01640,Hardened,34.15335,-118.69679,4km,
SMC01676,Natural,34.41931,-118.62961,,
SMC01684,Hardened,34.27906,-118.91591,>15km,
SMC01694,All or partially earthen,33.92,-117.90272,,
403S01707,Natural,34.59835,-119.34799,,
SMC01717,Natural,33.34014,-117.13232,,
SMC01726,Hardened,33.86351,-117.98816,>15km,
SMC01748,All or partially earthen,34.28747,-118.82744,,
SMC01814,Natural,33.02298,-117.2254,,
SMC01860,All or partially earthen,34.224,-118.97911,,
SMC01881,All or partially earthen,33.23548,-117.34167,,
SMC01909,Natural,33.31128,-117.13885,,
SMC01960,All or partially earthen,34.26554,-118.75916,,
SMC01962,All or partially earthen,32.66067,-117.03919,,
SMC01982,Hardened,33.91694,-118.03836,-99,ended in developed area
SMC01990,All or partially earthen,32.79653,-117.11327,,
SMC02006,Hardened,32.83083,-116.98486,10.5km,
SMC02127,Natural,34.42318,-119.26474,,
SMC02152,Natural,34.09801,-118.7217,,
SMC02174,Hardened,34.00511,-117.96922,15km,
SMC02208,Hardened,34.12835,-117.77484,-99,ended in developed area
SMC02270,Hardened,33.79573,-117.77241,-99,ended in developed area
SMC02284,Hardened,34.06542,-117.94939,>15km,
SMC02302,Hardened,33.8153,-118.04128,>15km,
SMC02366,Hardened,33.84684,-118.14043,-99,ended in developed area
SMC02436,All or partially earthen,34.26279,-118.97199,,
SMC02457,Natural,33.25578,-117.25006,,
SMC02494,All or partially earthen,33.9132,-117.97397,,
SMC02548,Natural,34.06379,-118.50674,,
SMC02563,All or partially earthen,33.68193,-117.67293,,
SMC02718,All or partially earthen,33.88936,-117.88771,,
SMC02884,All or partially earthen,34.21749,-118.98533,,
SMC02905,All or partially earthen,33.24093,-117.3287,,
SMC02933,Natural,33.31956,-117.16562,,
SMC02976,Natural,34.2579,-117.75661,,
SMC02984,All or partially earthen,34.26528,-118.75053,,
SMC03011,Hardened,33.6145,-117.6955,14.5km,
SMC03268,All or partially earthen,34.16255,-119.06301,,
SMC03401,Natural,33.45042,-117.31169,,
SMC03523,All or partially earthen,33.58478,-117.66437,,
SMC03944,Hardened,34.14271,-118.75016,5.5km,
404R4S015,Hardened,34.14255,-118.75224,5.5km,
SMC04054,Natural,32.83697,-117.01874,,
911MCCBML,Natural,32.67583,-116.58306,,
SMC04175,Natural,34.40835,-119.27642,,
SMC04239,Natural,34.3608,-119.31114,,
SMC04264,Natural,34.13,-118.7548,,
SMC04294,Natural,32.93776,-117.14172,,
SMC04308,Natural,34.19349,-118.9083,,
SMC04383,Natural,34.50224,-119.35602,,
402MJCMHS,Natural,34.5028,-119.3573,,
SMC04399,Natural,34.30796,-119.30062,,
SMC04441,Natural,33.17444,-117.27688,,
SMC04524,Natural,34.24761,-118.03367,,
SMC04600,Natural,34.39728,-118.7105,,
SMC04748,Natural,34.41314,-118.65879,,
SMC04749,All or partially earthen,33.85826,-117.21321,,
SMC04756,All or partially earthen,34.27092,-118.9269,,
408CGCS04,All or partially earthen,34.27161,-118.92406,,
SMC04806,Natural,32.89036,-117.19358,,
SMC04932,All or partially earthen,34.20139,-119.00115,,
SMC04934,Natural,33.03312,-117.1627,,
